,course_link,course_title,course_type,author,price,price_with_video,course_rating,course_rating_count,rubies,target_color,beginning,casual,intermediate,advanced,expert,language,instruction_word_count,free_video,trainable_variations,avg_line_depth,released_on,support_level,section
0,https://www.chessable.com/short-sweet-legendary-tactics/course/47106/,Short & Sweet: Legendary Tactics,MoveTrainer™ Tactics/Strategy course,GM GM Pascal Charbonneau,0,,4.7,30,14,both pieces,1.0,1.0,1.0,1.0,1.0,English,"1,212",1 hour and 59 minutes,24,9.29,"Jul 24, 2020",High,🎓 Titled player
1,https://www.chessable.com/chessable-masters-tournament/course/43805/,Chessable Masters Tournament,MoveTrainer™ Tactics/Strategy course,Chessable,0,,4.5,88,59,both pieces,0.0,1.0,1.0,1.0,0.0,English,126,4 hours and 31 minutes,65,16.36,"Jun 21, 2020",High,🎓 Titled player
2,https://www.chessable.com/short-sweet-the-black-lion/course/35086/,Short & Sweet: The Black Lion,MoveTrainer™ Opening course,GM GingerGM,0,,4.7,198,119,black pieces,1.0,1.0,1.0,0.0,0.0,English,"6,210",1 hour and 5 minutes,24,13.63,"Mar 11, 2020",High,🎓 Titled player
3,https://www.chessable.com/short-and-sweet-jan-gustafssons-1-e4-e5/course/31256/,Short and Sweet: Jan Gustafsson's 1. e4 e5,MoveTrainer™ Opening course,Chessable,0,,4.6,242,123,black pieces,1.0,1.0,1.0,0.0,0.0,English,"9,820",,37,17.00,"Dec 13, 2019",High,🌎 Community
4,https://www.chessable.com/short-sweet-queens-gambit-declined/course/34082/,Short & Sweet: Queen's Gambit Declined,MoveTrainer™ Opening course,GM Alex Colovic,0,,4.4,73,44,black pieces,1.0,1.0,1.0,0.0,0.0,English,"3,932",38 minutes,20,15.83,"Jun 19, 2020",High,🎓 Titled player
5,https://www.chessable.com/short-sweet-1d4/course/38693/,Short & Sweet: 1.d4,MoveTrainer™ Opening course,FM Daniel Barrish,0,,4.4,128,56,white pieces,1.0,1.0,1.0,0.0,0.0,English,"20,566",1 hour and 28 minutes,31,16.10,"May 06, 2020",Low,🎓 Titled player
6,https://www.chessable.com/short-sweet-accelerated-queens-indian-defense/course/38190/,Short & Sweet: Accelerated Queen's Indian Defense,MoveTrainer™ Opening course,"FM Yuriy Krykun (2506 USCF, 2382 FIDE)",0,,4.5,82,45,black pieces,1.0,1.0,1.0,0.0,0.0,English,"8,420",1 hour and 7 minutes,20,9.92,"May 13, 2020",High,🎓 Titled player
7,https://www.chessable.com/endgame-bootcamp-with-john-bartholomew/course/33597/,Endgame Bootcamp with John Bartholomew,MoveTrainer™ Endgame course,"IM John Bartholomew (2534 USCF, 2446 FIDE)",0,,4.6,389,236,both pieces,1.0,1.0,1.0,0.0,0.0,English,"2,860",39 minutes,19,5.05,"Jan 21, 2020",High,🎓 Titled player
8,https://www.chessable.com/basic-checkmate-patterns/course/45122/,Basic Checkmate Patterns,MoveTrainer™ Tactics course,"CraftyRaf & IM John Bartholomew (2534 USCF, 2446 FIDE)",0,,4.5,120,41,both pieces,1.0,1.0,1.0,0.0,0.0,English,658,1 hour and 14 minutes,34,2.76,"Jun 30, 2020",High,🎓 Titled player
9,https://www.chessable.com/short-sweet-the-caro-kann/course/45388/,Short & Sweet: The Caro-Kann,MoveTrainer™ Opening course,GM erwinlami (2620 FIDE),0,,4.6,36,38,black pieces,1.0,1.0,1.0,0.0,0.0,English,"10,833",1 hour and 18 minutes,25,14.85,"Jul 08, 2020",High,🎓 Titled player
10,https://www.chessable.com/sac-sac-mate-/course/42579/,"Sac, Sac, Mate!",MoveTrainer™ Tactics/Strategy course,GM Simon Williams & Chessable,0,,4.5,172,127,both pieces,0.0,1.0,1.0,0.0,0.0,English,769,32 minutes,19,10.23,"Jun 01, 2020",Community,📚 Publisher
11,https://www.chessable.com/short-sweet-the-trompowsky/course/29014/,Short & Sweet: The Trompowsky,MoveTrainer™ Opening course,"FM Kamil Plichta (3129 Online Rating, 2361 FIDE)",0,,4.8,62,20,white pieces,0.0,1.0,1.0,1.0,1.0,English,"5,694",57 minutes,20,15.13,"Apr 15, 2020",High,🎓 Titled player
12,https://www.chessable.com/short-sweet-four-knights-sicilian/course/35674/,Short & Sweet: Four Knights Sicilian,MoveTrainer™ Opening course,"FM Kamil Plichta (3129 Online Rating, 2361 FIDE)",0,,4.8,65,41,black pieces,0.0,1.0,1.0,1.0,1.0,English,"6,557",1 hour and 9 minutes,23,16.57,"Mar 05, 2020",High,🎓 Titled player
13,https://www.chessable.com/short-sweet-1-d4-for-mad-men/course/38275/,Short & Sweet: 1. d4 for Mad Men,MoveTrainer™ Opening course,"FM Kamil Plichta (3129 Online Rating, 2361 FIDE)",0,,4.4,54,55,white pieces,1.0,1.0,1.0,1.0,0.0,English,0,56 minutes,23,11.00,"Apr 15, 2020",High,🎓 Titled player
14,https://www.chessable.com/short-sweet-the-dutch/course/26772/,Short & Sweet: The Dutch,MoveTrainer™ Opening course,GM GingerGM,0,,4.7,180,208,black pieces,1.0,1.0,1.0,1.0,0.0,English,"5,963",52 minutes,18,13.32,"Sep 04, 2019",Low,🎓 Titled player
15,https://www.chessable.com/short-sweet-the-magnus-sicilian/course/30136/,Short & Sweet: The Magnus Sicilian,MoveTrainer™ Opening course,IM Chessexplained,0,,4.7,405,324,black pieces,1.0,1.0,1.0,0.0,0.0,English,"10,733",1 hour and 58 minutes,25,15.04,"Nov 18, 2019",High,🎓 Titled player
16,https://www.chessable.com/short-sweet-the-jobava-london-system/course/29129/,Short & Sweet: The Jobava London System,MoveTrainer™ Opening course,GM GingerGM,0,,4.6,251,141,white pieces,1.0,1.0,1.0,0.0,0.0,English,"4,765",60 minutes,20,13.68,"Oct 23, 2019",Medium,🎓 Titled player
17,https://www.chessable.com/short-sweet-the-ragozin/course/27861/,Short & Sweet: The Ragozin,MoveTrainer™ Opening course,IM Christof Sielecki & FM Daniel Barrish,0,,4.8,66,38,black pieces,1.0,1.0,1.0,0.0,0.0,,"5,863",47 minutes,23,12.80,"Oct 16, 2019",Medium,🎓 Titled player
18,https://www.chessable.com/short-sweet-the-modern-defense/course/34278/,Short & Sweet - The Modern Defense,MoveTrainer™ Opening course,"CM Vjekoslav (2600 Online Rating, 2177 FIDE)",0,,4.6,61,64,black pieces,1.0,1.0,1.0,0.0,0.0,,"19,037",1 hour and 54 minutes,22,16.45,"Feb 12, 2020",High,🎓 Titled player
19,https://www.chessable.com/short-sweet-semi-slav/course/35319/,Short & Sweet: Semi-Slav,MoveTrainer™ Opening course,GM samshankland,0,,4.5,111,91,black pieces,1.0,1.0,1.0,0.0,0.0,English,"5,379",50 minutes,26,14.11,"Apr 08, 2020",High,🎓 Titled player
